,rule,coef,n_predicate,rank
2178,BMI_Medium ⊗ ¬ BloodPressure_High ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ Glucose_High ⊗ ¬ Pregnancies_Low ⊗ ¬ Pregnancies_High ⊗ ¬ SkinThickness_High ⊗ SkinThickness_Low ⊗ ¬ Glucose_Low → Outcome,0.2523874297541514,10,2
2858,Pregnancies_Low ⊗ ¬ Glucose_Low ⊗ Glucose_Medium ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ BMI_High ⊗ ¬ BMI_Low ⊗ ¬ Age_High ⊗ DiabetesPedigreeFunction_Low ⊗ SkinThickness_Medium → ¬ Outcome,-0.2074321737293377,10,2
3004,Glucose_High ⊗ BMI_Medium ⊗ ¬ BloodPressure_Medium ⊗ ¬ SkinThickness_High → Outcome,0.4671840518763755,5,3
3106,¬ Glucose_High ⊗ Glucose_Low ⊗ DiabetesPedigreeFunction_Low → ¬ Outcome,-0.0029186901930428,4,1
3976,¬ Glucose_High ⊗ Age_Low ⊗ ¬ SkinThickness_Medium ⊗ BMI_Low ⊗ ¬ BloodPressure_High → ¬ Outcome,-0.4257844535802342,6,3
4775,¬ Glucose_Low ⊗ Glucose_Medium ⊗ Age_Medium ⊗ ¬ BMI_Low ⊗ BloodPressure_Medium ⊗ ¬ SkinThickness_High ⊗ ¬ DiabetesPedigreeFunction_Low → Outcome,0.0001013978932511,8,1
5598,BMI_Low ⊗ ¬ Pregnancies_Low ⊗ ¬ SkinThickness_Medium ⊗ Age_High → ¬ Outcome,-0.1368960093138351,5,1
5607,BMI_Low ⊗ Pregnancies_Low ⊗ ¬ Age_High ⊗ ¬ BloodPressure_Medium → ¬ Outcome,-0.2267984430836652,5,2
6387,Glucose_Low ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ BloodPressure_Low → ¬ Outcome,-0.0112616234866874,4,1
6512,¬ Glucose_High ⊗ ¬ Glucose_Medium ⊗ ¬ BloodPressure_High → ¬ Outcome,-0.3191286351130865,4,2
7492,¬ Pregnancies_Low ⊗ ¬ Glucose_Low ⊗ Age_Medium ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ Glucose_Medium ⊗ ¬ BloodPressure_Low ⊗ ¬ SkinThickness_High ⊗ SkinThickness_Medium ⊗ Pregnancies_High → Outcome,0.0558724171543373,10,1
7531,Pregnancies_Low ⊗ ¬ Glucose_High ⊗ ¬ Glucose_Low ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ Age_High ⊗ BMI_High ⊗ ¬ BloodPressure_Medium → Outcome,0.1441214359912244,8,1
7794,Pregnancies_Low ⊗ ¬ Age_High ⊗ ¬ SkinThickness_High ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ BMI_Low → ¬ Outcome,-0.0445463325428092,6,1
7871,¬ Age_Medium ⊗ ¬ BloodPressure_High ⊗ ¬ DiabetesPedigreeFunction_High ⊗ BMI_Medium ⊗ ¬ Age_High ⊗ ¬ Pregnancies_High ⊗ ¬ Pregnancies_Medium ⊗ ¬ SkinThickness_Low ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ BloodPressure_Low ⊗ ¬ Glucose_High → ¬ Outcome,-0.5003583972727056,12,3
8006,¬ Glucose_Low ⊗ Glucose_Medium ⊗ ¬ Age_High ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ ¬ BloodPressure_Medium ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ BMI_High ⊗ ¬ SkinThickness_Medium ⊗ ¬ BloodPressure_Low → ¬ Outcome,-0.5689876452891287,10,3
8029,¬ Glucose_Low ⊗ Glucose_Medium ⊗ ¬ Age_High ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ BloodPressure_Medium ⊗ ¬ BMI_Medium ⊗ Age_Low ⊗ SkinThickness_Low → ¬ Outcome,-0.1522325603475109,9,1
8108,¬ DiabetesPedigreeFunction_High ⊗ ¬ Glucose_High ⊗ Glucose_Medium ⊗ ¬ BloodPressure_High ⊗ ¬ Age_Low ⊗ ¬ SkinThickness_Medium ⊗ ¬ BMI_Low ⊗ ¬ Pregnancies_High ⊗ ¬ Pregnancies_Medium → Outcome,0.2120953066354048,10,2
8827,BMI_Low ⊗ ¬ Glucose_High ⊗ ¬ BloodPressure_High ⊗ ¬ Pregnancies_High ⊗ ¬ Pregnancies_Medium ⊗ ¬ Age_High ⊗ SkinThickness_Low → ¬ Outcome,-0.0466816983241721,8,1
9105,BMI_High ⊗ ¬ Glucose_Low ⊗ BloodPressure_High ⊗ Pregnancies_Low → Outcome,0.0211015342161106,5,1
9160,DiabetesPedigreeFunction_Low ⊗ ¬ Glucose_High ⊗ ¬ Glucose_Medium ⊗ ¬ BloodPressure_Low → ¬ Outcome,-0.0815568695973491,5,1
10415,Glucose_Low ⊗ ¬ SkinThickness_High ⊗ ¬ BloodPressure_High → ¬ Outcome,-0.5851801711917982,4,3
10513,¬ BMI_Low ⊗ Pregnancies_High ⊗ Glucose_Medium ⊗ ¬ DiabetesPedigreeFunction_Low → Outcome,0.03395008692357,5,1
11061,¬ Pregnancies_Low ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ BMI_Low → Outcome,0.4290498184140054,5,3
11521,¬ BloodPressure_High ⊗ Glucose_High ⊗ ¬ BMI_Low ⊗ ¬ BloodPressure_Low ⊗ SkinThickness_Low ⊗ ¬ Age_High → Outcome,0.1113921116192613,7,1
12325,¬ Age_Medium ⊗ Age_High ⊗ BMI_Low ⊗ ¬ Pregnancies_Low ⊗ SkinThickness_Low → ¬ Outcome,-0.0956194457187582,6,1
12377,¬ Glucose_Low ⊗ ¬ Age_Medium ⊗ ¬ Glucose_High ⊗ ¬ BMI_Low ⊗ Age_Low ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ BMI_Medium ⊗ ¬ BloodPressure_Medium → Outcome,0.1872720096114445,9,1
12643,¬ BMI_High ⊗ ¬ Age_Low ⊗ ¬ BMI_Low ⊗ ¬ Glucose_Low ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ Pregnancies_Medium → Outcome,0.4696452193477467,7,3
