,rule,coef,n_predicate,rank,n_violation (instance),n_evaluation (instance),violation,consequent
7871,¬ Age_Medium ⊗ ¬ BloodPressure_High ⊗ ¬ DiabetesPedigreeFunction_High ⊗ BMI_Medium ⊗ ¬ Age_High ⊗ ¬ Pregnancies_High ⊗ ¬ Pregnancies_Medium ⊗ ¬ SkinThickness_Low ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ BloodPressure_Low ⊗ ¬ Glucose_High → ¬ Outcome,-0.5003583972727056,12,2,8,8,1,
8006,¬ Glucose_Low ⊗ Glucose_Medium ⊗ ¬ Age_High ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ ¬ BloodPressure_Medium ⊗ DiabetesPedigreeFunction_Low ⊗ ¬ BMI_High ⊗ ¬ SkinThickness_Medium ⊗ ¬ BloodPressure_Low → ¬ Outcome,-0.5689876452891287,10,2,3,3,1,
8029,¬ Glucose_Low ⊗ Glucose_Medium ⊗ ¬ Age_High ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ BloodPressure_Medium ⊗ ¬ BMI_Medium ⊗ Age_Low ⊗ SkinThickness_Low → ¬ Outcome,-0.1522325603475109,9,0,10,10,1,
8108,¬ DiabetesPedigreeFunction_High ⊗ ¬ Glucose_High ⊗ Glucose_Medium ⊗ ¬ BloodPressure_High ⊗ ¬ Age_Low ⊗ ¬ SkinThickness_Medium ⊗ ¬ BMI_Low ⊗ ¬ Pregnancies_High ⊗ ¬ Pregnancies_Medium → Outcome,0.2120953066354048,10,1,0,1,0,
8827,BMI_Low ⊗ ¬ Glucose_High ⊗ ¬ BloodPressure_High ⊗ ¬ Pregnancies_High ⊗ ¬ Pregnancies_Medium ⊗ ¬ Age_High ⊗ SkinThickness_Low → ¬ Outcome,-0.0466816983241721,8,0,26,26,1,
9105,BMI_High ⊗ ¬ Glucose_Low ⊗ BloodPressure_High ⊗ Pregnancies_Low → Outcome,0.0211015342161106,5,0,0,4,0,
9160,DiabetesPedigreeFunction_Low ⊗ ¬ Glucose_High ⊗ ¬ Glucose_Medium ⊗ ¬ BloodPressure_Low → ¬ Outcome,-0.0815568695973491,5,0,14,14,1,
10415,Glucose_Low ⊗ ¬ SkinThickness_High ⊗ ¬ BloodPressure_High → ¬ Outcome,-0.5851801711917982,4,2,28,28,1,
10513,¬ BMI_Low ⊗ Pregnancies_High ⊗ Glucose_Medium ⊗ ¬ DiabetesPedigreeFunction_Low → Outcome,0.03395008692357,5,0,0,1,0,
11061,¬ Pregnancies_Low ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ BMI_Low → Outcome,0.4290498184140054,5,2,0,3,0,
11521,¬ BloodPressure_High ⊗ Glucose_High ⊗ ¬ BMI_Low ⊗ ¬ BloodPressure_Low ⊗ SkinThickness_Low ⊗ ¬ Age_High → Outcome,0.1113921116192613,7,0,0,7,0,
12325,¬ Age_Medium ⊗ Age_High ⊗ BMI_Low ⊗ ¬ Pregnancies_Low ⊗ SkinThickness_Low → ¬ Outcome,-0.0956194457187582,6,0,2,2,1,
12377,¬ Glucose_Low ⊗ ¬ Age_Medium ⊗ ¬ Glucose_High ⊗ ¬ BMI_Low ⊗ Age_Low ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ BMI_Medium ⊗ ¬ BloodPressure_Medium → Outcome,0.1872720096114445,9,0,0,4,0,
12643,¬ BMI_High ⊗ ¬ Age_Low ⊗ ¬ BMI_Low ⊗ ¬ Glucose_Low ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ Pregnancies_Medium → Outcome,0.4696452193477467,7,2,0,3,0,
