,rule,coef,n_predicate,rank,n_violation (instance),n_evaluation (instance),violation,consequent
2831,¬ Glucose_High ⊗ Age_Low ⊗ BMI_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ SkinThickness_Medium → ¬ Outcome,-0.1926648979252049,6,0,15,15,1,
4008,BMI_Low ⊗ Pregnancies_Low ⊗ SkinThickness_Low ⊗ ¬ Age_High → ¬ Outcome,-0.0355839491578478,5,0,20,20,1,
4097,Age_Low ⊗ ¬ BMI_High ⊗ ¬ BMI_Low ⊗ ¬ Glucose_High ⊗ ¬ BloodPressure_Low ⊗ SkinThickness_Low ⊗ ¬ BloodPressure_High ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ Glucose_Medium → Outcome,0.0109278964887062,10,0,0,4,0,
4335,¬ Glucose_High ⊗ Age_Medium ⊗ Glucose_Medium ⊗ ¬ BMI_Low ⊗ ¬ SkinThickness_Medium ⊗ ¬ SkinThickness_High ⊗ ¬ Pregnancies_Medium ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ ¬ BloodPressure_High → Outcome,0.1686713222547032,10,0,0,2,0,
4962,BMI_Medium ⊗ ¬ BloodPressure_Low ⊗ ¬ Glucose_Low ⊗ ¬ SkinThickness_Medium ⊗ Glucose_Medium ⊗ ¬ BloodPressure_Medium ⊗ ¬ SkinThickness_High ⊗ DiabetesPedigreeFunction_Low → ¬ Outcome,-0.282865427495809,9,1,2,2,1,
5149,Pregnancies_Low ⊗ Age_Low ⊗ SkinThickness_Low ⊗ ¬ BloodPressure_Medium → ¬ Outcome,-0.4783797228350329,5,2,10,10,1,
5178,¬ Age_Medium ⊗ ¬ BMI_Low ⊗ ¬ SkinThickness_Low ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ ¬ Pregnancies_High ⊗ Glucose_High ⊗ ¬ SkinThickness_High → Outcome,0.1672949778369467,8,0,0,6,0,
6448,¬ Glucose_Medium ⊗ Glucose_High ⊗ ¬ Age_High ⊗ ¬ BloodPressure_High ⊗ SkinThickness_Low → Outcome,0.4747459817366702,6,2,0,6,0,
6811,¬ BloodPressure_High ⊗ ¬ BMI_Low ⊗ ¬ SkinThickness_High ⊗ ¬ Glucose_High ⊗ Glucose_Medium ⊗ BloodPressure_Medium ⊗ BMI_Medium ⊗ ¬ Age_High ⊗ ¬ Age_Medium ⊗ SkinThickness_Low ⊗ ¬ DiabetesPedigreeFunction_Low → Outcome,0.0085412124716781,12,0,0,4,0,
6925,¬ Age_Medium ⊗ ¬ BMI_Low ⊗ ¬ Glucose_Low ⊗ Glucose_Medium ⊗ ¬ BloodPressure_High ⊗ Pregnancies_Low ⊗ Age_Low ⊗ BloodPressure_Medium ⊗ BMI_Medium ⊗ ¬ SkinThickness_Low ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ ¬ DiabetesPedigreeFunction_High → ¬ Outcome,-0.0629211213502711,13,0,3,3,1,
7433,¬ Pregnancies_Low ⊗ ¬ BMI_High ⊗ DiabetesPedigreeFunction_Medium ⊗ Pregnancies_Medium ⊗ ¬ Glucose_Low ⊗ ¬ SkinThickness_High ⊗ BloodPressure_Medium → Outcome,0.3514151410061611,8,1,0,10,0,
7678,¬ Glucose_Low ⊗ Glucose_Medium ⊗ ¬ BMI_Low ⊗ BMI_Medium ⊗ ¬ Age_High ⊗ ¬ Age_Medium ⊗ BloodPressure_High ⊗ ¬ SkinThickness_High → ¬ Outcome,-0.0433440291004795,9,0,3,3,1,
7854,DiabetesPedigreeFunction_High ⊗ Pregnancies_Low ⊗ ¬ BMI_Medium → ¬ Outcome,-0.40671429559075,4,2,2,2,1,
8133,¬ Glucose_Low ⊗ ¬ Glucose_High ⊗ ¬ BloodPressure_Low ⊗ ¬ Age_Low ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ BMI_Medium ⊗ ¬ SkinThickness_High → Outcome,0.465568552672499,8,2,0,3,0,
8181,¬ Glucose_Low ⊗ ¬ Glucose_High ⊗ BloodPressure_Low ⊗ ¬ Age_Medium ⊗ ¬ Pregnancies_High → ¬ Outcome,-0.6639227752694369,6,3,9,9,1,
10038,¬ BMI_Low ⊗ ¬ Pregnancies_High ⊗ ¬ Glucose_Low ⊗ ¬ Glucose_High ⊗ ¬ BloodPressure_Low ⊗ BMI_Medium ⊗ ¬ Age_Medium ⊗ ¬ SkinThickness_Medium ⊗ ¬ Age_High ⊗ ¬ DiabetesPedigreeFunction_Low ⊗ SkinThickness_Low ⊗ BloodPressure_Medium → Outcome,0.0105019328703032,13,0,0,4,0,¬
10106,¬ BMI_Low ⊗ Pregnancies_High ⊗ ¬ DiabetesPedigreeFunction_Low → Outcome,0.8507238877165608,4,4,0,3,0,
10909,¬ BMI_Low ⊗ ¬ Glucose_Low ⊗ ¬ Glucose_Medium ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ BloodPressure_Medium → Outcome,1.1719327998892437,6,5,0,13,0,
11125,BloodPressure_High ⊗ ¬ Age_High ⊗ ¬ Age_Low ⊗ Glucose_Medium ⊗ ¬ SkinThickness_Medium ⊗ ¬ Pregnancies_High → ¬ Outcome,-0.2531554964788156,7,1,1,1,1,
12207,¬ BMI_Medium ⊗ BMI_Low ⊗ Age_Low ⊗ ¬ Pregnancies_Medium ⊗ SkinThickness_Low → ¬ Outcome,-0.0403983479659408,6,0,17,17,1,
12292,¬ BMI_Low ⊗ ¬ Pregnancies_Low ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ SkinThickness_High ⊗ ¬ BloodPressure_Medium ⊗ BMI_Medium ⊗ Glucose_Medium ⊗ ¬ Age_High ⊗ BloodPressure_High → ¬ Outcome,-0.2086770116952112,10,1,1,1,1,
12471,Age_Low ⊗ ¬ Pregnancies_Medium ⊗ ¬ SkinThickness_Low ⊗ ¬ DiabetesPedigreeFunction_Medium ⊗ ¬ Glucose_Low ⊗ Pregnancies_Low ⊗ ¬ DiabetesPedigreeFunction_High ⊗ ¬ SkinThickness_High ⊗ ¬ Glucose_High ⊗ ¬ BMI_Low → ¬ Outcome,-0.3381701788902974,11,1,8,8,1,
